,Year,Quarter,Month,Employee,Cost Object,Paid FTE,Salary,Overhead,Total Expenses
0,2010,Q3,9,Employee 102,::DC/GO/CIS/BY/Minsk,0.5555556078008002,722.2222,341.1389,1063.3611
1,2010,Q4,10,Employee 102,::DC/GO/CIS/BY/Minsk,1.0,1300.0,637.2292,1937.2292
2,2010,Q4,11,Employee 102,::DC/GO/CIS/BY/Minsk,1.0,1300.0,589.6518000000001,1889.6518
3,2010,Q1,3,Employee 17,::DC/GO/CIS/BY/Minsk,0.6874998305879546,398.75,362.1535000000001,760.9035000000001
4,2010,Q2,4,Employee 17,::DC/GO/CIS/BY/Minsk,0.9999999491957199,699.9999,677.8367000000003,1377.8366000000003
5,2010,Q2,5,Employee 15,::DC/GO/CIS/BY/Minsk,0.13392861607644402,140.625,84.34979999999999,224.9748
6,2010,Q2,5,Employee 17,::DC/GO/CIS/BY/Minsk,1.0000000639340842,699.9999,629.8111,1329.8110000000001
7,2010,Q2,6,Employee 15,::DC/GO/CIS/BY/Minsk,0.5,525.0,323.4084,848.4084
8,2010,Q2,6,Employee 17,::DC/GO/CIS/BY/Minsk,0.9999999676049427,676.1364,646.8166999999999,1322.9530999999997
9,2010,Q3,7,Employee 15,::DC/GO/CIS/BY/Minsk,0.43371208104230297,455.3977,264.3999,719.7976
10,2010,Q3,7,Employee 17,::DC/GO/CIS/BY/Minsk,1.0,700.0,609.6206999999999,1309.6207
11,2010,Q3,7,Employee 53,::SS/HR/CIS/BY/TC/TRNE,0.0,0.0,0.0,0.0
12,2010,Q3,8,Employee 15,::DC/GO/CIS/BY/Minsk,0.5000000000000001,525.0,338.25839999999994,863.2583999999999
13,2010,Q3,8,Employee 17,::DC/GO/CIS/BY/Minsk,0.9999998547057432,700.0,676.5167,1376.5167000000001
14,2010,Q3,8,Employee 53,::DC/GO/CIS/BY/Minsk,0.5000000467338855,375.0,338.25840000000005,713.2584
15,2010,Q3,8,Employee 73,::DC/GO/CIS/BY/Minsk,0.5,250.0,338.25829999999996,588.2583
16,2010,Q3,9,Employee 15,::DC/GO/CIS/BY/Minsk,0.4999964421950515,525.0,307.0250999999999,832.0250999999998
17,2010,Q3,9,Employee 17,::DC/GO/CIS/BY/Minsk,1.0,700.0,614.0500999999999,1314.0501
18,2010,Q3,9,Employee 53,::DC/GO/CIS/BY/Minsk,0.5,375.0,307.0248999999999,682.0248999999999
19,2010,Q3,9,Employee 73,::DC/GO/CIS/BY/Minsk,0.5,375.0,307.0249,682.0249
20,2010,Q4,10,Employee 15,::DC/GO/CIS/BY/Minsk,0.4999955977567853,525.0,318.61469999999997,843.6147
21,2010,Q4,10,Employee 17,::DC/GO/CIS/BY/Minsk,1.0,700.0,637.2293,1337.2293
22,2010,Q4,10,Employee 53,::DC/GO/CIS/BY/Minsk,0.5,375.0,318.6146,693.6146
23,2010,Q4,10,Employee 73,::DC/GO/CIS/BY/Minsk,0.5,375.0,318.6146,693.6146
