product,course_id,course_title,order_created_date,country,total_invoice_amount,refund_invoice_amount
club,188,Женский клуб Я/Мы SUPER Лицо,2023-01-01,australia,1,0
club,188,Женский клуб Я/Мы SUPER Лицо,2023-01-01,netherlands,2,0
club,188,Женский клуб Я/Мы SUPER Лицо,2023-01-01,russia,6,0
club,188,Женский клуб Я/Мы SUPER Лицо,2023-01-01,türkiye,2,0
club,188,Женский клуб Я/Мы SUPER Лицо,2023-01-02,lithuania,2,0
club,188,Женский клуб Я/Мы SUPER Лицо,2023-01-02,russia,18,0
club,188,Женский клуб Я/Мы SUPER Лицо,2023-01-03,france,1,1
club,188,Женский клуб Я/Мы SUPER Лицо,2023-01-03,germany,1,0
club,188,Женский клуб Я/Мы SUPER Лицо,2023-01-03,netherlands,2,0
club,188,Женский клуб Я/Мы SUPER Лицо,2023-01-03,russia,11,0
club,188,Женский клуб Я/Мы SUPER Лицо,2023-01-03,thailand,1,0
club,188,Женский клуб Я/Мы SUPER Лицо,2023-01-04,denmark,1,0
club,188,Женский клуб Я/Мы SUPER Лицо,2023-01-04,germany,2,0
club,188,Женский клуб Я/Мы SUPER Лицо,2023-01-04,netherlands,2,0
club,188,Женский клуб Я/Мы SUPER Лицо,2023-01-04,russia,12,1
club,188,Женский клуб Я/Мы SUPER Лицо,2023-01-05,finland,1,0
club,188,Женский клуб Я/Мы SUPER Лицо,2023-01-05,georgia,1,0
club,188,Женский клуб Я/Мы SUPER Лицо,2023-01-05,netherlands,1,0
club,188,Женский клуб Я/Мы SUPER Лицо,2023-01-05,russia,18,0
club,188,Женский клуб Я/Мы SUPER Лицо,2023-01-05,switzerland,1,0
club,188,Женский клуб Я/Мы SUPER Лицо,2023-01-05,united kingdom,1,0
club,188,Женский клуб Я/Мы SUPER Лицо,2023-01-06,germany,2,0
club,188,Женский клуб Я/Мы SUPER Лицо,2023-01-06,kazakhstan,1,0
club,188,Женский клуб Я/Мы SUPER Лицо,2023-01-06,latvia,2,0
club,188,Женский клуб Я/Мы SUPER Лицо,2023-01-06,russia,20,0
club,188,Женский клуб Я/Мы SUPER Лицо,2023-01-07,austria,3,0
club,188,Женский клуб Я/Мы SUPER Лицо,2023-01-07,belarus,1,0
club,188,Женский клуб Я/Мы SUPER Лицо,2023-01-07,canada,1,0
club,188,Женский клуб Я/Мы SUPER Лицо,2023-01-07,france,4,0
club,188,Женский клуб Я/Мы SUPER Лицо,2023-01-07,germany,3,0
club,188,Женский клуб Я/Мы SUPER Лицо,2023-01-07,israel,1,0
club,188,Женский клуб Я/Мы SUPER Лицо,2023-01-07,italy,2,0
club,188,Женский клуб Я/Мы SUPER Лицо,2023-01-07,kazakhstan,1,0
club,188,Женский клуб Я/Мы SUPER Лицо,2023-01-07,russia,13,0
club,188,Женский клуб Я/Мы SUPER Лицо,2023-01-07,united arab emirates,1,0
club,188,Женский клуб Я/Мы SUPER Лицо,2023-01-07,united states,1,0
club,188,Женский клуб Я/Мы SUPER Лицо,2023-01-08,armenia,3,0
